16:55:02.002304245 : vetrnik/tele/stats/energy_Ws 94
16:55:02.003532497 : vetrnik/cmnd/control/contactor 1
16:55:02.005583114 : vetrnik/tele/control/contactor 5
16:55:02.006451442 : vetrnik/tele/control/contactor 4
16:55:02.007358177 : vetrnik/cmnd/power_board/duty 255
16:55:02.502135412 : vetrnik/tele/power_board/time 1222
16:55:02.502266338 : vetrnik/tele/stats/energy_Ws 98
16:55:03.001905969 : vetrnik/tele/stats/energy_Ws 102
16:55:03.002078690 : vetrnik/cmnd/control/contactor 1
16:55:03.003913734 : vetrnik/cmnd/power_board/duty 255
16:55:03.004025123 : vetrnik/tele/control/contactor 5
16:55:03.006039277 : vetrnik/tele/control/contactor 4
16:55:03.501747932 : vetrnik/tele/power_board/time 1223
16:55:03.502025727 : vetrnik/tele/stats/energy_Ws 106
16:55:04.002294854 : vetrnik/cmnd/control/contactor 1
16:55:04.002624982 : vetrnik/tele/stats/energy_Ws 110
16:55:04.004418082 : vetrnik/tele/control/contactor 5
16:55:04.004774524 : vetrnik/cmnd/power_board/duty 255
16:55:04.005156411 : vetrnik/tele/control/contactor 4
16:55:04.502380390 : vetrnik/tele/power_board/time 1224
16:55:04.502574056 : vetrnik/tele/stats/energy_Ws 114
16:55:05.002144298 : vetrnik/tele/stats/energy_Ws 118
16:55:05.004153027 : vetrnik/cmnd/control/contactor 1
16:55:05.006232958 : vetrnik/tele/control/contactor 5
16:55:05.006324439 : vetrnik/cmnd/power_board/duty 255
16:55:05.007646098 : vetrnik/tele/control/contactor 4
16:55:05.502744646 : vetrnik/tele/power_board/time 1225
16:55:05.502961126 : vetrnik/tele/stats/energy_Ws 122
16:55:06.002087871 : vetrnik/cmnd/control/contactor 1
16:55:06.002254333 : vetrnik/tele/stats/energy_Ws 126
16:55:06.003583177 : vetrnik/cmnd/power_board/duty 255
16:55:06.004408468 : vetrnik/tele/control/contactor 5
16:55:06.006168531 : vetrnik/tele/control/contactor 4
16:55:06.502207611 : vetrnik/tele/power_board/time 1226
