17:48:48.610519247 : vetrnik/tele/stats/energy_Ws 3343
17:48:49.110801078 : vetrnik/tele/stats/energy_Ws 3346
17:48:49.610355431 : vetrnik/tele/power_board/time 2607
17:48:49.610592615 : vetrnik/tele/stats/energy_Ws 3349
17:48:50.110016431 : vetrnik/tele/stats/energy_Ws 3352
17:48:50.609742543 : vetrnik/tele/power_board/time 2608
17:48:50.609904931 : vetrnik/tele/stats/energy_Ws 3354
17:48:51.110482482 : vetrnik/tele/stats/energy_Ws 3357
17:48:51.610046835 : vetrnik/tele/power_board/time 2609
17:48:51.610199704 : vetrnik/tele/stats/energy_Ws 3360
17:48:51.708132476 : vetrnik/cmnd/control/contactor 1
17:48:51.709662800 : vetrnik/cmnd/power_board/duty 35
17:48:51.709940298 : vetrnik/tele/control/contactor 5
17:48:51.712098174 : vetrnik/tele/control/contactor 4
17:48:52.110073630 : vetrnik/tele/power_board/power 8.2
17:48:52.110272425 : vetrnik/tele/power_board/duty 35
17:48:52.110458146 : vetrnik/tele/power_board/current 0.779
17:48:52.110820088 : vetrnik/tele/stats/energy_Ws 3363
17:48:52.610635644 : vetrnik/tele/power_board/time 2610
17:48:52.610805328 : vetrnik/tele/stats/energy_Ws 3367
17:48:53.110458125 : vetrnik/tele/stats/energy_Ws 3371
17:48:53.609967071 : vetrnik/tele/power_board/time 2611
17:48:53.610180200 : vetrnik/tele/stats/energy_Ws 3375
17:48:54.110063107 : vetrnik/tele/stats/energy_Ws 3379
17:48:54.610651213 : vetrnik/tele/power_board/time 2612
17:48:54.611067100 : vetrnik/tele/stats/energy_Ws 3383
17:48:55.110270214 : vetrnik/tele/stats/energy_Ws 3387
17:48:55.610034900 : vetrnik/tele/power_board/time 2613
17:48:55.610241824 : vetrnik/tele/stats/energy_Ws 3391
17:48:56.110994171 : vetrnik/tele/stats/energy_Ws 3395
17:48:56.610636579 : vetrnik/tele/power_board/time 2614
17:48:56.610985059 : vetrnik/tele/stats/energy_Ws 3399
17:48:57.110375932 : vetrnik/tele/stats/energy_Ws 3403
17:48:57.610169950 : vetrnik/tele/power_board/time 2615
17:48:57.610539856 : vetrnik/tele/stats/energy_Ws 3407
17:48:58.110695872 : vetrnik/tele/stats/energy_Ws 3411
17:48:58.610457465 : vetrnik/tele/power_board/time 2616
17:48:58.610645890 : vetrnik/tele/stats/energy_Ws 3415
17:48:59.110089559 : vetrnik/tele/stats/energy_Ws 3419
17:48:59.610757350 : vetrnik/tele/power_board/time 2617
17:48:59.610945794 : vetrnik/tele/stats/energy_Ws 3423
17:49:00.110351463 : vetrnik/tele/stats/energy_Ws 3427
17:49:00.610104519 : vetrnik/tele/power_board/time 2618
17:49:00.610317259 : vetrnik/tele/stats/energy_Ws 3431
17:49:01.110046778 : vetrnik/tele/stats/energy_Ws 3435
17:49:01.428381872 : vetrnik/cmnd/control/contactor 1
17:49:01.429824290 : vetrnik/tele/control/contactor 5
17:49:01.429944622 : vetrnik/cmnd/power_board/duty 50
17:49:01.430362009 : vetrnik/tele/control/contactor 4
17:49:01.610589941 : vetrnik/tele/power_board/power 9.9
17:49:01.610783865 : vetrnik/tele/power_board/time 2619
17:49:01.610970735 : vetrnik/tele/power_board/duty 50
17:49:01.611399695 : vetrnik/tele/power_board/voltage 10.5
17:49:01.611741323 : vetrnik/tele/power_board/current 0.943
17:49:01.612089135 : vetrnik/tele/stats/energy_Ws 3439
17:49:02.111226880 : vetrnik/tele/power_board/power 11.1
17:49:02.111377861 : vetrnik/tele/power_board/current 1.066
17:49:02.111718970 : vetrnik/tele/stats/energy_Ws 3443
17:49:02.611186620 : vetrnik/tele/power_board/time 2620
17:49:02.611349842 : vetrnik/tele/stats/energy_Ws 3448
17:49:03.111592617 : vetrnik/tele/stats/energy_Ws 3453
17:49:03.611476858 : vetrnik/tele/power_board/power 10.7
17:49:03.611685301 : vetrnik/tele/power_board/time 2621
17:49:03.611991410 : vetrnik/tele/power_board/current 1.025
17:49:03.612468056 : vetrnik/tele/power_board/temperature/heatsink 28.5
17:49:03.613183385 : vetrnik/tele/stats/energy_Ws 3458
17:49:04.111327488 : vetrnik/tele/stats/energy_Ws 3463
17:49:04.610824823 : vetrnik/tele/power_board/time 2622
17:49:04.611046822 : vetrnik/tele/power_board/temperature/heatsink 28.8
17:49:04.611345357 : vetrnik/tele/stats/energy_Ws 3468
17:49:05.111704076 : vetrnik/tele/stats/energy_Ws 3473
17:49:05.611258004 : vetrnik/tele/power_board/power 11.1
17:49:05.611392041 : vetrnik/tele/power_board/time 2623
17:49:05.611818001 : vetrnik/tele/power_board/current 1.066
17:49:05.612062185 : vetrnik/tele/stats/energy_Ws 3478
17:49:06.111203059 : vetrnik/tele/stats/energy_Ws 3483
